Bureau of Meteorology station number,Year,Month,Total_Monthly_Rainfall_mm
9225,2023,1,0.4
9225,2023,2,0.0
9225,2023,3,41.8
9225,2023,4,45.4
9225,2023,5,26.400000000000002
9225,2023,6,228.8
9225,2023,7,120.60000000000001
9225,2023,8,75.0
9225,2023,9,44.8
9225,2023,10,8.200000000000001
9225,2023,11,5.199999999999999
9225,2023,12,0.0
9225,2024,1,1.8
9225,2024,2,5.0
9225,2024,3,1.5999999999999999
9225,2024,4,1.2
9225,2024,5,76.0
9225,2024,6,118.60000000000001
9225,2024,7,170.0
9225,2024,8,138.4
9225,2024,9,39.199999999999996
9225,2024,10,47.6
9225,2024,11,10.399999999999999
9225,2024,12,3.8000000000000003
14015,2023,1,304.6
14015,2023,2,500.8
14015,2023,3,160.4
14015,2023,4,82.8
14015,2023,5,0.0
14015,2023,6,0.0
14015,2023,7,0.0
14015,2023,8,0.0
14015,2023,9,0.0
14015,2023,10,1.6
14015,2023,11,61.4
14015,2023,12,253.4
14015,2024,1,558.0
14015,2024,2,470.8
14015,2024,3,401.2
14015,2024,4,18.400000000000002
14015,2024,5,0.0
14015,2024,6,0.0
14015,2024,7,2.4
14015,2024,8,0.0
14015,2024,9,60.599999999999994
14015,2024,10,39.6
14015,2024,11,208.8
14015,2024,12,222.6
23373,2023,1,9.8
23373,2023,2,11.2
23373,2023,3,25.400000000000002
23373,2023,4,30.9
23373,2023,5,58.9
23373,2023,6,68.6
23373,2023,7,39.5
23373,2023,8,34.0
23373,2023,9,17.9
23373,2023,10,17.0
23373,2023,11,39.8
23373,2023,12,40.199999999999996
23373,2024,1,29.099999999999998
23373,2024,2,0.0
23373,2024,3,5.0
23373,2024,4,4.4
23373,2024,5,6.300000000000001
23373,2024,6,51.4
23373,2024,7,63.2
23373,2024,8,28.3
23373,2024,9,22.2
23373,2024,10,54.9
23373,2024,11,11.3
23373,2024,12,3.0
41560,2023,1,29.599999999999998
41560,2023,2,14.4
41560,2023,3,65.2
41560,2023,4,27.4
41560,2023,5,62.6
41560,2023,6,20.4
41560,2023,7,18.8
41560,2023,8,3.0
41560,2023,9,1.2
41560,2023,10,3.6
41560,2023,11,123.19999999999999
41560,2023,12,88.0
41560,2024,1,117.8
41560,2024,2,33.2
41560,2024,3,36.4
41560,2024,4,157.0
41560,2024,5,10.4
41560,2024,6,17.0
41560,2024,7,55.0
41560,2024,8,44.8
41560,2024,9,39.2
41560,2024,10,67.2
41560,2024,11,101.6
41560,2024,12,81.6
53115,2023,1,34.0
53115,2023,2,62.0
53115,2023,3,84.6
53115,2023,4,1.4
53115,2023,5,10.6
53115,2023,6,27.8
53115,2023,7,12.6
53115,2023,8,9.8
53115,2023,9,0.0
53115,2023,10,13.0
53115,2023,11,114.2
53115,2023,12,59.0
53115,2024,1,51.4
53115,2024,2,31.6
53115,2024,3,15.8
53115,2024,4,90.2
53115,2024,5,29.799999999999997
53115,2024,6,28.8
53115,2024,7,52.0
53115,2024,8,30.4
53115,2024,9,30.2
53115,2024,10,0.8
53115,2024,11,74.6
53115,2024,12,40.4
82039,2023,1,150.0
82039,2023,2,5.199999999999999
82039,2023,3,53.599999999999994
82039,2023,4,76.8
82039,2023,5,39.6
82039,2023,6,118.0
82039,2023,7,53.0
82039,2023,8,53.2
82039,2023,9,9.4
82039,2023,10,64.6
82039,2023,11,75.8
82039,2023,12,82.2
82039,2024,1,71.2
82039,2024,2,47.199999999999996
82039,2024,3,17.2
82039,2024,4,24.4
82039,2024,5,47.0
82039,2024,6,33.599999999999994
82039,2024,7,50.6
82039,2024,8,30.6
82039,2024,9,39.6
82039,2024,10,41.0
82039,2024,11,129.79999999999998
82039,2024,12,41.0
91375,2023,1,17.6
91375,2023,2,24.8
91375,2023,3,63.199999999999996
91375,2023,4,38.199999999999996
91375,2023,5,16.8
91375,2023,6,89.4
91375,2023,7,49.8
91375,2023,8,57.2
91375,2023,9,18.799999999999997
91375,2023,10,27.4
91375,2023,11,25.2
91375,2023,12,65.2
91375,2024,1,73.19999999999999
91375,2024,2,5.6
91375,2024,3,19.6
91375,2024,4,58.0
91375,2024,5,47.2
91375,2024,6,45.8
91375,2024,7,62.6
91375,2024,8,90.4
91375,2024,9,67.4
91375,2024,10,24.8
91375,2024,11,58.8
91375,2024,12,66.0
